メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,実セラー数_現行,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索
イーサプライ,1,パソコン・周辺機器,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,cherish_shop【インボイス請求書対応しておりません】,1,1,2,1518,B0816QS5VF,イーサプライ モニタースタンド モニターアーム 置き型 27インチ程度 耐荷重6kg 高さ変更 VESA ブラック EE,https://www.amazon.co.jp/dp/B0816QS5VF,https://www.google.com/search?q=%E3%82%A4%E3%83%BC%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コーナン,1,DIY・工具・ガーデン,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ヒロセ ネットショップ,1,1,2,2327,B076X1N3GV,コーナンオリジナル LIFELEX 自動水やり機 散水タイマー 水やりタイマー 電池式 蛇口接続モデル ガーデニング用 ,https://www.amazon.co.jp/dp/B076X1N3GV,https://www.google.com/search?q=%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
大島屋(Ooshimaya),1,ホーム＆キッチン,連絡候補,,B: 国内の第三者が1社扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,ECJOY! [創業24年インボイスT7011001061049],1,1,6,62,B01CN6JB80,籐枕 約30×18×12cm,https://www.amazon.co.jp/dp/B01CN6JB80,https://www.google.com/search?q=%E5%A4%A7%E5%B3%B6%E5%B1%8B%28Ooshimaya%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
日進医療器,1,スポーツ＆アウトドア,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,A1 ショップ【3300円以上で全国送料無料】※一部送料無料もございます,1,1,2,73,B001GXEGEQ,日進医療器 LE携帯酸素スプレー5リットル,https://www.amazon.co.jp/dp/B001GXEGEQ,https://www.google.com/search?q=%E6%97%A5%E9%80%B2%E5%8C%BB%E7%99%82%E5%99%A8%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SoundPEATS(サウンドピーツ),5,家電＆カメラ,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,メーカー名日本語,なし,,0,1,2,3935,B0DJXSJWD7,SOUNDPEATS CC イヤーカフイヤホン 【オープンイヤー ワイヤレスイヤホン ハイレゾ LDAC 対応 Blue,https://www.amazon.co.jp/dp/B0DJXSJWD7,https://www.google.com/search?q=SoundPEATS%28%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%83%94%E3%83%BC%E3%83%84%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ウェイモール (WEIMALL),2,車＆バイク,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,JAN45/49／メーカー名日本語,なし,,0,1,2,4678,B06XJRSRX9,WEIMALL ファームジャッキ 耐荷重3t 48インチ 車 タイガー ハイ アップ オフロード 抜根 ウインチファーム,https://www.amazon.co.jp/dp/B06XJRSRX9,https://www.google.com/search?q=%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%A2%E3%83%BC%E3%83%AB%20%28WEIMALL%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
充電の達人,2,家電＆カメラ,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,manufacturer日本語／メーカー名日本語,なし,,0,3,3,662,B0FPF47K7H,モバイルバッテリー 大容量 急速充電 【2026新設計・22800mAh大容量】 最大2.4A出力 4つのケーブル内蔵 ,https://www.amazon.co.jp/dp/B0FPF47K7H,https://www.google.com/search?q=%E5%85%85%E9%9B%BB%E3%81%AE%E9%81%94%E4%BA%BA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
BEAMS BOY(ビームスボーイ),1,ファッション,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,メーカー名日本語,なし,,0,1,2,3775,B0F9JCYXMP,[ビームスボーイ] キャンパス・バッグ ARC’TERYX MANTIS1 WESTPACK レディース 24K Bla,https://www.amazon.co.jp/dp/B0F9JCYXMP,https://www.google.com/search?q=BEAMS%20BOY%28%E3%83%93%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%9C%E3%83%BC%E3%82%A4%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
YouTen(ユーテン),1,スポーツ＆アウトドア,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,メーカー名日本語,なし,,0,1,2,3335,B0DQVYKXJL,【アワード受賞・人気ブランド】 YouTen（ユーテン）ディップススタンド 耐荷重200kg 折りたたみ ディップスマシ,https://www.amazon.co.jp/dp/B0DQVYKXJL,https://www.google.com/search?q=YouTen%28%E3%83%A6%E3%83%BC%E3%83%86%E3%83%B3%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
new balance(ニューバランス),1,ファッション,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,メーカー名日本語,なし,,0,5,5,6743,B09F36LB7C,[ニューバランス] MR530SG width D WHITE レディース スニーカー ホワイト ネイビー シルバー ブ,https://www.amazon.co.jp/dp/B09F36LB7C,https://www.google.com/search?q=new%20balance%28%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%90%E3%83%A9%E3%83%B3%E3%82%B9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ドリームメーカー(DreamMaker),1,車＆バイク,連絡候補,,C: 第三者はいるが国内事業者ではない,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,,0,1,2,4956,B0FL1TX4XB,ドリームメーカー ミニ CD DVDプレーヤー 車載用 再生専用 HDMI USB給電 1080P CPRM対応 リモコ,https://www.amazon.co.jp/dp/B0FL1TX4XB,https://www.google.com/search?q=%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%28DreamMaker%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
モリグリーン(Moly Green),1,車＆バイク,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,JAN45/49／メーカー名日本語,なし,,0,2,2,721,B01MAWKDKP,モリグリーン(Moly Green) エンジンオイル セレクション 0W20 SP/GF-6A 4L 全合成油 0470,https://www.amazon.co.jp/dp/B01MAWKDKP,https://www.google.com/search?q=%E3%83%A2%E3%83%AA%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%28Moly%20Green%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
レヂトン(Resiton),1,DIY・工具・ガーデン,連絡候補,,C: 第三者はいるが国内事業者ではない,規模未確認,JAN45/49／メーカー名日本語,なし,,0,2,2,2625,B091YCZWTZ,レヂトン 切断砥石 金の卵 105×1.0×15【30枚セット】 (ステンレス/金属用),https://www.amazon.co.jp/dp/B091YCZWTZ,https://www.google.com/search?q=%E3%83%AC%E3%83%82%E3%83%88%E3%83%B3%28Resiton%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ZIPPO,2,ファッション,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49,なし,,0,0,5,437,B00DXIPA1A,zippo（ジッポー） インサイドユニット レギュラーサイズ,https://www.amazon.co.jp/dp/B00DXIPA1A,https://www.google.com/search?q=ZIPPO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Airクリーンラボ,1,ホーム＆キッチン,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／メーカー名日本語,なし,,0,0,2,105,B0DQ81QZWP,【張る空気清浄機×5つの試験で99%】 ハウスダスト対策 エアコンフィルター 壁掛エアコン・空気清浄機用 掃除 ホコリ ,https://www.amazon.co.jp/dp/B0DQ81QZWP,https://www.google.com/search?q=Air%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%A9%E3%83%9C%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Maxell,1,家電＆カメラ,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49,なし,,0,0,4,82,B000N4SL54,maxell データ用 DＶD-R 4.7GB 16倍速対応 インクジェットプリンタ対応ホワイト(ワイド印刷) 10枚 ,https://www.amazon.co.jp/dp/B000N4SL54,https://www.google.com/search?q=Maxell%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
PACPAK,1,ペット用品,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／manufacturer日本語／日本法人格,なし,,0,0,3,438,B0BT6VCS74,日本シール 直販 ぱくぱくローラー 正規品 抜け毛取り お掃除ローラー カーペット ラグ 絨毯 ペット 犬 猫 抜け毛 ,https://www.amazon.co.jp/dp/B0BT6VCS74,https://www.google.com/search?q=PACPAK%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SAZAC,1,おもちゃ,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49,なし,,0,0,2,546,B0BZKVR3K4,スーパーマリオ マリオ 着ぐるみ帽子,https://www.amazon.co.jp/dp/B0BZKVR3K4,https://www.google.com/search?q=SAZAC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ビーエムオンライン,1,車＆バイク,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,manufacturer日本語／メーカー名日本語,なし,,0,0,3,411,B09MQ19QJC,鈴木油脂 かびとりいっぱつ,https://www.amazon.co.jp/dp/B09MQ19QJC,https://www.google.com/search?q=%E3%83%93%E3%83%BC%E3%82%A8%E3%83%A0%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ブレイス(Braith),1,車＆バイク,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／メーカー名日本語,なし,,0,0,4,103,B0D4LH1S4S,ブレイス/BRAiTH アーマオール プロテクタントオリジナル 473ml 車 ダッシュボード タイヤ 保護 ツヤ出し ,https://www.amazon.co.jp/dp/B0D4LH1S4S,https://www.google.com/search?q=%E3%83%96%E3%83%AC%E3%82%A4%E3%82%B9%28Braith%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
富士フレーバー,1,DIY・工具・ガーデン,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／メーカー名日本語,なし,,0,0,2,504,B07JR1SNN4,富士フレーバー タバコシバンムシ 誘引 捕獲 セット ニューセリコ 2枚入り フェロモントラップ,https://www.amazon.co.jp/dp/B07JR1SNN4,https://www.google.com/search?q=%E5%AF%8C%E5%A3%AB%E3%83%95%E3%83%AC%E3%83%BC%E3%83%90%E3%83%BC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
富士通,1,パソコン・周辺機器,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,manufacturer日本語／メーカー名日本語,なし,,0,0,4,203,B00EW7BUII,【バルク品】　富士通純正 【FMV-AC332A/ADP-65YH A】←FMV-AC332/ADP-65JH ABZ同,https://www.amazon.co.jp/dp/B00EW7BUII,https://www.google.com/search?q=%E5%AF%8C%E5%A3%AB%E9%80%9A%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
曙産業,1,ホーム＆キッチン,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／メーカー名日本語,なし,,0,0,3,117,B08XWZ82W6,曙産業 レンジでらくチン! ゆでたまご 1個用 日本製 電子レンジで簡単ゆで卵作り 余熱調理で加熱時間を短縮 フタは安全,https://www.amazon.co.jp/dp/B08XWZ82W6,https://www.google.com/search?q=%E6%9B%99%E7%94%A3%E6%A5%AD%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
消臭ビーズ,1,ペット用品,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,,0,0,4,204,B07GLJ2X4F,【まとめ買い】　消臭ビーズ 猫トイレまくだけ 香り広がる消臭ビーズ さわやかなナチュラルガーデンの香り 450ml×3個,https://www.amazon.co.jp/dp/B07GLJ2X4F,https://www.google.com/search?q=%E6%B6%88%E8%87%AD%E3%83%93%E3%83%BC%E3%82%BA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
筒井時正商店,1,おもちゃ,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,,0,0,4,252,B001C9XWH6,"超特大ナイヤガラ 参考価格:1,100円/1箱 総薬量(約)72g",https://www.amazon.co.jp/dp/B001C9XWH6,https://www.google.com/search?q=%E7%AD%92%E4%BA%95%E6%99%82%E6%AD%A3%E5%95%86%E5%BA%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
金鳥,1,DIY・工具・ガーデン,連絡候補,,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,,0,0,5,92,B08WB8C986,イヤな虫ムエンダー 60プッシュ アリ クモ カメムシ 害虫駆除 殺虫剤 スプレー ワンプッシュ,https://www.amazon.co.jp/dp/B08WB8C986,https://www.google.com/search?q=%E9%87%91%E9%B3%A5%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
